Percentage served,Time in ms
0,0.068
1,0.068
2,0.068
3,0.068
4,0.068
5,0.068
6,0.068
7,0.068
8,0.068
9,0.068
10,0.077
11,0.077
12,0.077
13,0.077
14,0.077
15,0.077
16,0.077
17,0.077
18,0.077
19,0.077
20,0.077
21,0.077
22,0.077
23,0.077
24,0.077
25,0.077
26,0.077
27,0.077
28,0.077
29,0.077
30,0.089
31,0.089
32,0.089
33,0.089
34,0.089
35,0.089
36,0.089
37,0.089
38,0.089
39,0.089
40,0.089
41,0.089
42,0.089
43,0.089
44,0.089
45,0.089
46,0.089
47,0.089
48,0.089
49,0.089
50,0.101
51,0.101
52,0.101
53,0.101
54,0.101
55,0.101
56,0.101
57,0.101
58,0.101
59,0.101
60,0.101
61,0.101
62,0.101
63,0.101
64,0.101
65,0.101
66,0.101
67,0.101
68,0.101
69,0.101
70,0.104
71,0.104
72,0.104
73,0.104
74,0.104
75,0.104
76,0.104
77,0.104
78,0.104
79,0.104
80,0.104
81,0.104
82,0.104
83,0.104
84,0.104
85,0.104
86,0.104
87,0.104
88,0.104
89,0.104
90,0.000
91,0.000
92,0.000
93,0.000
94,0.000
95,0.000
96,0.000
97,0.000
98,0.000
99,0.000
